product,game_variant,prize_tier,winning_rule,prize_value_vnd,details_json,source_url
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 6,Kết quả quay số có ba số 6,30000,"{""columns"":{""Giá trị trúng thưởng"":""30.000"",""Xác định kết quả"":""Kết quả quay số có ba số 6""},""row_index"":17,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 6,Kết quả quay số có ba số 6,300007,"{""columns"":{""Giá trị trúng thưởng"":""30.000 ( Số lượng: 7 )"",""Xác định kết quả"":""Kết quả quay số có ba số 6""},""row_index"":17,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171701
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 6,Kết quả quay số có ba số 6,1200000,"{""columns"":{""Giá trị trúng thưởng"":""1.200.000"",""Xác định kết quả"":""Kết quả quay số có ba số 6""},""row_index"":5,""table_index"":4}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 6,Kết quả quay số có ba số 6,3000017,"{""columns"":{""Giá trị trúng thưởng"":""30.000 ( Số lượng: 17 )"",""Xác định kết quả"":""Kết quả quay số có ba số 6""},""row_index"":17,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171703
bingo18,tabSelNumberInfo,Kết quả quay số có ba số trùng nhau bất kỳ,Kết quả quay số có ba số trùng nhau bất kỳ,200000,"{""columns"":{""Giá trị trúng thưởng"":""200.000"",""Xác định kết quả"":""Kết quả quay số có ba số trùng nhau bất kỳ""},""row_index"":6,""table_index"":4}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ba số trùng nhau bất kỳ,Kết quả quay số có ba số trùng nhau bất kỳ,20000060,"{""columns"":{""Giá trị trúng thưởng"":""200.000 ( Số lượng: 60 )"",""Xác định kết quả"":""Kết quả quay số có ba số trùng nhau bất kỳ""},""row_index"":6,""table_index"":4}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171701
bingo18,tabSelNumberInfo,Kết quả quay số có ba số trùng nhau bất kỳ,Kết quả quay số có ba số trùng nhau bất kỳ,20000078,"{""columns"":{""Giá trị trúng thưởng"":""200.000 ( Số lượng: 78 )"",""Xác định kết quả"":""Kết quả quay số có ba số trùng nhau bất kỳ""},""row_index"":6,""table_index"":4}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171703
bingo18,tabSelNumberInfo,Kết quả quay số có ba số trùng nhau bất kỳ,Kết quả quay số có ba số trùng nhau bất kỳ,20000092,"{""columns"":{""Giá trị trúng thưởng"":""200.000 ( Số lượng: 92 )"",""Xác định kết quả"":""Kết quả quay số có ba số trùng nhau bất kỳ""},""row_index"":6,""table_index"":4}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171710
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 1,Kết quả quay số có hai số 1,20000,"{""columns"":{""Giá trị trúng thưởng"":""20.000"",""Xác định kết quả"":""Kết quả quay số có hai số 1""},""row_index"":1,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có hai số 2,Kết quả quay số có hai số 2,20000,"{""columns"":{""Giá trị trúng thưởng"":""20.000"",""Xác định kết quả"":""Kết quả quay số có hai số 2""},""row_index"":4,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
