product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
keno,0053581,2021-04-01,confirmed,"{""numbers"":[2,6,12,13,17,19,23,31,32,33,43,49,50,54,59,66,67,71,75,77]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":10,""small"":10},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":7,""odd"":13}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053582,2021-04-01,confirmed,"{""numbers"":[4,8,10,14,16,22,23,31,34,43,52,53,55,63,64,68,70,73,74,75]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":11,""small"":9},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":12,""odd"":8}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053583,2021-04-01,confirmed,"{""numbers"":[6,9,11,17,22,24,26,27,31,32,33,42,44,51,52,53,59,65,73,79]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":9,""small"":11},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":8,""odd"":12}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053584,2021-04-01,confirmed,"{""numbers"":[2,4,5,10,11,13,14,18,19,22,32,40,50,60,62,65,68,69,74,78]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":14,""odd"":6}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053585,2021-04-01,confirmed,"{""numbers"":[3,8,12,14,18,21,29,31,33,35,37,43,46,50,58,61,68,69,71,77]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":9,""small"":11},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":8,""odd"":12}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053586,2021-04-01,confirmed,"{""numbers"":[1,6,9,15,18,19,20,23,26,36,38,48,64,68,72,73,74,75,76,77]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":9,""small"":11},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":12,""odd"":8}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053587,2021-04-01,confirmed,"{""numbers"":[1,11,14,15,18,25,27,32,36,37,39,40,44,49,58,65,70,71,76,80]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":10,""odd"":10}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053588,2021-04-01,confirmed,"{""numbers"":[1,4,8,10,17,22,24,30,31,34,37,40,41,50,54,62,63,68,75,77]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":12,""odd"":8}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053589,2021-04-01,confirmed,"{""numbers"":[3,14,18,19,21,26,29,30,31,32,34,39,43,47,54,67,68,69,71,73]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":8,""odd"":12}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
keno,0053590,2021-04-01,confirmed,"{""numbers"":[1,2,11,13,15,20,21,24,25,30,31,37,38,40,45,59,62,65,67,69]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":6,""small"":14},""data_source"":""xoso_com_vn_archive"",""draw_time"":""00:00"",""odd_even"":{""even"":7,""odd"":13}}",[],https://xoso.com.vn/ket-qua-keno-1-4-2021.html,rules_available,valid,[],2026-06-13T20:43:50+00:00
