product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
keno,0158250,2023-09-01,confirmed,"{""numbers"":[5,10,12,20,23,27,28,33,44,47,49,51,53,54,56,68,69,71,75,76]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":12,""small"":8},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:04"",""odd_even"":{""even"":9,""odd"":11}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158251,2023-09-01,confirmed,"{""numbers"":[3,11,21,22,23,25,27,29,31,37,41,45,50,55,56,58,60,61,67,71]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":10,""small"":10},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:09"",""odd_even"":{""even"":5,""odd"":15}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158252,2023-09-01,confirmed,"{""numbers"":[1,2,6,8,9,17,18,20,21,22,28,30,40,48,55,61,62,69,73,80]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":7,""small"":13},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:14"",""odd_even"":{""even"":12,""odd"":8}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158253,2023-09-01,confirmed,"{""numbers"":[9,10,21,36,38,39,44,46,51,54,56,57,58,62,64,68,70,71,72,75]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":14,""small"":6},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:19"",""odd_even"":{""even"":13,""odd"":7}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158254,2023-09-01,confirmed,"{""numbers"":[3,6,10,16,17,21,23,24,29,31,32,37,40,41,47,58,65,68,69,80]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":7,""small"":13},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:24"",""odd_even"":{""even"":9,""odd"":11}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158255,2023-09-01,confirmed,"{""numbers"":[10,13,14,19,21,22,24,29,34,39,46,48,55,63,68,71,73,75,77,78]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":10,""small"":10},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:29"",""odd_even"":{""even"":9,""odd"":11}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158256,2023-09-01,confirmed,"{""numbers"":[9,11,14,18,19,25,26,27,30,35,37,44,45,47,53,57,60,72,76,79]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":9,""small"":11},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:34"",""odd_even"":{""even"":8,""odd"":12}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158257,2023-09-01,confirmed,"{""numbers"":[5,12,16,17,18,24,27,31,33,34,38,47,51,55,57,58,65,66,69,78]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":9,""small"":11},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:39"",""odd_even"":{""even"":9,""odd"":11}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158258,2023-09-01,confirmed,"{""numbers"":[8,13,16,18,24,25,28,33,38,39,42,46,47,58,59,60,65,71,72,73]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":10,""small"":10},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:44"",""odd_even"":{""even"":11,""odd"":9}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158259,2023-09-01,confirmed,"{""numbers"":[4,5,9,10,13,21,30,31,32,34,36,39,45,48,56,59,69,74,76,80]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:49"",""odd_even"":{""even"":11,""odd"":9}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158260,2023-09-01,confirmed,"{""numbers"":[2,3,5,12,17,36,39,43,46,48,49,51,52,57,60,69,70,73,74,76]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":13,""small"":7},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:54"",""odd_even"":{""even"":10,""odd"":10}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:07+00:00
keno,0158261,2023-09-01,confirmed,"{""numbers"":[2,9,10,16,18,20,22,27,28,29,35,37,46,48,54,63,72,73,76,79]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:59"",""odd_even"":{""even"":12,""odd"":8}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:06+00:00
keno,0158262,2023-09-01,confirmed,"{""numbers"":[1,2,5,9,12,18,21,23,34,35,36,43,46,49,53,54,63,67,68,72]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":9,""small"":11},""data_source"":""xoso_com_vn_archive"",""draw_time"":""07:04"",""odd_even"":{""even"":9,""odd"":11}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:06+00:00
keno,0158263,2023-09-01,confirmed,"{""numbers"":[2,5,14,18,24,25,28,32,35,37,38,43,44,49,58,61,63,72,75,80]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":9,""small"":11},""data_source"":""xoso_com_vn_archive"",""draw_time"":""07:09"",""odd_even"":{""even"":11,""odd"":9}}",[],https://xoso.com.vn/ket-qua-keno-1-9-2023.html,rules_available,valid,[],2026-06-13T21:14:06+00:00
