product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
keno,0104121,2022-10-01,confirmed,"{""numbers"":[2,3,8,9,15,17,18,24,30,32,36,40,42,52,60,62,65,66,77,79]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:10"",""odd_even"":{""even"":13,""odd"":7}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104122,2022-10-01,confirmed,"{""numbers"":[6,9,10,14,26,27,30,32,39,41,46,54,55,57,64,71,73,74,78,79]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":11,""small"":9},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:20"",""odd_even"":{""even"":11,""odd"":9}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104123,2022-10-01,confirmed,"{""numbers"":[1,3,7,8,9,14,15,17,22,24,26,32,38,39,51,52,58,61,69,74]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":6,""small"":14},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:30"",""odd_even"":{""even"":10,""odd"":10}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104124,2022-10-01,confirmed,"{""numbers"":[3,5,9,10,11,16,17,27,28,29,41,42,48,59,62,63,65,67,78,80]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":10,""small"":10},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:40"",""odd_even"":{""even"":8,""odd"":12}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104125,2022-10-01,confirmed,"{""numbers"":[1,2,3,6,8,20,22,27,28,34,36,38,45,52,57,63,65,72,73,74]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""06:50"",""odd_even"":{""even"":12,""odd"":8}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104126,2022-10-01,confirmed,"{""numbers"":[1,5,6,12,17,18,22,30,39,40,43,47,49,56,59,66,69,73,74,76]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":10,""small"":10},""data_source"":""xoso_com_vn_archive"",""draw_time"":""07:00"",""odd_even"":{""even"":10,""odd"":10}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104127,2022-10-01,confirmed,"{""numbers"":[2,5,12,16,17,22,25,29,30,32,36,40,42,53,54,66,69,70,74,78]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""07:10"",""odd_even"":{""even"":14,""odd"":6}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104128,2022-10-01,confirmed,"{""numbers"":[1,2,15,18,23,28,29,30,31,32,38,39,44,49,50,53,71,72,74,77]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":8,""small"":12},""data_source"":""xoso_com_vn_archive"",""draw_time"":""07:20"",""odd_even"":{""even"":10,""odd"":10}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104129,2022-10-01,confirmed,"{""numbers"":[2,3,15,16,18,20,27,35,38,43,48,50,52,66,67,73,74,75,77,78]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":11,""small"":9},""data_source"":""xoso_com_vn_archive"",""draw_time"":""07:30"",""odd_even"":{""even"":11,""odd"":9}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
keno,0104130,2022-10-01,confirmed,"{""numbers"":[3,6,10,15,17,22,26,31,36,43,54,59,62,63,64,70,73,76,77,79]}","{""archive_endpoint"":""https://xoso.com.vn/KeNo/GetMoreBydate"",""big_small"":{""big"":11,""small"":9},""data_source"":""xoso_com_vn_archive"",""draw_time"":""07:40"",""odd_even"":{""even"":10,""odd"":10}}",[],https://xoso.com.vn/ket-qua-keno-1-10-2022.html,rules_available,valid,[],2026-06-13T21:02:06+00:00
